eph_aglome,RADIO,PERSONAS,decil_NSE
CABA,020030501,802,6
CABA,020030502,648,8
CABA,020030503,970,7
CABA,020030504,542,6
CABA,020030505,610,9
CABA,020030506,441,10
CABA,020030507,768,9
CABA,020030601,716,7
CABA,020030602,351,7
CABA,020030603,617,6
CABA,020030604,610,9
CABA,020030605,866,4
CABA,020030606,522,8
CABA,020030607,683,6
CABA,020030701,310,6
CABA,020030702,864,8
CABA,020030703,967,7
CABA,020030704,914,8
CABA,020030705,579,6
CABA,020030706,584,7
CABA,020030707,922,6
CABA,020030708,395,8
CABA,020030709,931,4
CABA,020030801,647,7
CABA,020030802,552,7
CABA,020030803,839,5
CABA,020030804,538,7
CABA,020030805,496,6
CABA,020030806,478,5
CABA,020030807,427,4
CABA,020030808,524,4
CABA,020030809,718,6
CABA,020030810,547,4
CABA,020030901,860,3
CABA,020030902,486,8
CABA,020030903,762,6
CABA,020030904,1026,3
CABA,020030905,594,4
CABA,020030906,497,5
CABA,020030907,776,2
CABA,020030908,740,3
CABA,020030909,803,4
CABA,020030910,787,3
CABA,020031001,786,4
CABA,020031002,820,5
CABA,020031003,952,4
CABA,020031004,733,7
CABA,020031005,469,7
CABA,020031006,976,3
CABA,020031007,742,4
CABA,020031008,658,3
CABA,020031101,809,6
CABA,020031102,934,3
CABA,020031103,898,3
CABA,020031104,1213,8
CABA,020031105,704,6
CABA,020031106,916,5
CABA,020031107,843,6
CABA,020031108,584,6
CABA,020031201,679,7
CABA,020031202,904,6
CABA,020031203,578,3
CABA,020031204,491,5
CABA,020031205,971,6
CABA,020031206,269,2
CABA,020031207,928,5
CABA,020031208,546,3
CABA,020031209,478,4
CABA,020031210,845,2
CABA,020031301,744,4
CABA,020031302,771,2
CABA,020031303,817,5
CABA,020031304,516,3
CABA,020031305,633,3
CABA,020031306,735,6
CABA,020031307,622,5
CABA,020031308,498,2
CABA,020031309,723,6
CABA,020031310,693,2
CABA,020031311,896,4
CABA,020031401,880,2
CABA,020031402,948,3
CABA,020031403,1052,3
CABA,020031404,802,4
CABA,020031405,844,2
CABA,020031406,1114,4
CABA,020031407,633,4
CABA,020031408,720,4
CABA,020031409,103,1
CABA,020031410,898,3
CABA,020031501,683,5
CABA,020031502,909,4
CABA,020031503,666,3
CABA,020031504,788,6
CABA,020031505,755,5
CABA,020031506,805,3
CABA,020031507,1248,5
CABA,020031508,1281,5
CABA,020031509,275,3
CABA,020031601,891,4
CABA,020031602,1121,4
CABA,020031603,881,3
CABA,020031604,464,5
CABA,020031605,664,2
CABA,020031606,741,2
